[属性描述]
格式版本号=
数据产生单位=
数据产生日期=
坐标系=2000国家大地坐标系
几度分带=3
投影类型=高斯克吕格
计量单位=米
带号=37
精度=0.001
转换参数=,,,,,,
[地块坐标]
5,109.43,1,,面,,,,@
J5,1,2369596.887,37465565.841
J6,1,2369599.109,37465564.571
J7,1,2369600.538,37465565.682
J1,2,2369606.888,37465554.887
J2,2,2369607.523,37465558.538
J3,2,2369607.206,37465562.825
J4,2,2369605.142,37465566.952
J5,2,2369602.443,37465565.682
J6,2,2369600.221,37465562.666
J7,2,2369596.411,37465562.348
J8,2,2369593.236,37465558.697
J9,2,2369597.522,37465552.347
J10,2,2369600.697,37465550.442
J11,2,2369603.872,37465550.442
J12,2,2369606.888,37465554.887